title,artist,duration_ms,duration_min,url
3_Peg | Sharry_Mann,Ali Afzaal,225776,3.76,https://soundcloud.com/ali-afzaal-572309623/3_peg-sharry_mann?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Tere_Te | AP _ Dhillon | Gurinder_Gill | Official,Ali Afzaal,210651,3.51,https://soundcloud.com/ali-afzaal-572309623/tere_te-ap-dhillon?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Jabse_Tune_Mujhe_Deewana_Bana_Rakha_Hai | Atif_Aslam | Quratulain_Balouch,Ali Afzaal,236591,3.94,https://soundcloud.com/ali-afzaal-572309623/cut_jabse_tune_mujhe_deewana_b?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Door_Channa_Mereya | Ninja | Slowed & Reverb 🥀,Ali Afzaal,227605,3.79,https://soundcloud.com/ali-afzaal-572309623/door_song_channa_mereya-ninja?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Dooba - Udbhav Acharya | Teesri Duniya | 2022,Ali Afzaal,278100,4.63,https://soundcloud.com/ali-afzaal-572309623/dooba-udbhav-acharya-teesri?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Bikhra _ Na Jany Kyun Tu Hi To _ 🍂,Ali Afzaal,170527,2.84,https://soundcloud.com/ali-afzaal-572309623/bikhra-na-jany-kyun-tu-hi-to?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
You Came To Me (Sami Yusuf)🤍 اللهم صل على سيدنا,Ali Afzaal,246021,4.1,https://soundcloud.com/ali-afzaal-572309623/you_came_to_me-lyrics?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Bewafa Se Dil Laga Kar Ro Pary 🥀,Ali Afzaal,895295,14.92,https://soundcloud.com/ali-afzaal-572309623/bewafa-se-dil-laga-kar-ro-pary?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Tera Woh Payar ( Nawazishein Karam ),Ali Afzaal,425091,7.08,https://soundcloud.com/ali-afzaal-572309623/tera-woh-payar-nawazishein?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Rafta Rafta _ Atif Aslam Ft. _ Official,Ali Afzaal,254041,4.23,https://soundcloud.com/ali-afzaal-572309623/rafta_rafta_slowed_reverb_atif?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Tum Kyu Chale Aate Ho 🥀 (slowed + Reverb),Ali Afzaal,263549,4.39,https://soundcloud.com/ali-afzaal-572309623/tum-kyu-chale-aate-ho-slowed?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Bhula Dena Mujhy (Ashqiue 2) - Slowed And Reverb,Ali Afzaal,285048,4.75,https://soundcloud.com/ali-afzaal-572309623/bhula-dena-mujhy-ashqiue-2?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Maanu - 2 MINUTES __ SMOG CITY (Official Audio),Ray,235442,3.92,https://soundcloud.com/ammas-lifestyle/maanu-2-minutes-smog-city?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Maanu - 4U,Ray,218854,3.65,https://soundcloud.com/ammas-lifestyle/maanu-4u?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Accusations,Ray,312581,5.21,https://soundcloud.com/ammas-lifestyle/hasan-raheem-accusations?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
TOWERS - HEERA with Hasan Raheem & Abdullah Kasumbi,Ray,238132,3.97,https://soundcloud.com/ammas-lifestyle/towers-heera-with-hasan-raheem?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Dil fareb,Ray,222354,3.71,https://soundcloud.com/ammas-lifestyle/hasan-raheem-dil-fareb?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Dibs,Ray,182309,3.04,https://soundcloud.com/ammas-lifestyle/hasan-raheem-dibs?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Maanu - Pak Sar Zameen (feat. Talal Qureshi),Ray,228885,3.81,https://soundcloud.com/ammas-lifestyle/maanu-pak-sar-zameen-feat?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Maanu - LOONY (prod. Talal Qureshi & Abdullah Siddiqui),Ray,162612,2.71,https://soundcloud.com/ammas-lifestyle/maanu-loony-prod-talal-qureshi?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Tareekhi,Ray,173061,2.88,https://soundcloud.com/ammas-lifestyle/hasan-raheem-tareekhi?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Nautanki,Ray,258900,4.32,https://soundcloud.com/ammas-lifestyle/hasan-raheem-nautanki-1?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Fursat,Ray,189231,3.15,https://soundcloud.com/ammas-lifestyle/hasan-raheem-fursat?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Kaleji,Ray,178887,2.98,https://soundcloud.com/ammas-lifestyle/hasan-raheem-kaleji?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - Peanut Butter,Ray,229825,3.83,https://soundcloud.com/ammas-lifestyle/hasan-raheem-peanut-butter?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
JADU - Talal Qureshi & Towers,Ray,190589,3.18,https://soundcloud.com/ammas-lifestyle/jadu-talal-qureshi-towers?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Maanu - Baad Ki Baatein,Ray,254903,4.25,https://soundcloud.com/ammas-lifestyle/maanu-baad-ki-baatein?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
afsaana - maanu ft. mujju,Ray,188630,3.14,https://soundcloud.com/ammas-lifestyle/afsaana-maanu-ft-mujju?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Rozeo - TEZ,Ray,181159,3.02,https://soundcloud.com/ammas-lifestyle/rozeo-tez?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
LOVE YOURSELF COVER _ HASAN RAHEEM _ MAHNOOR,Ray,107833,1.8,https://soundcloud.com/ammas-lifestyle/love-yourself-cover-hasan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
TOWERS - JODH_ft.HasanRaheem,Ray,626756,10.45,https://soundcloud.com/ammas-lifestyle/towers-jodh-48k?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Maanu - NAAL,Ray,156447,2.61,https://soundcloud.com/ammas-lifestyle/maanu-naal?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hasan Raheem - IDK,Ray,137874,2.3,https://soundcloud.com/ammas-lifestyle/hasan-raheem-idk-audio-48k-m4a?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Wo Noor,AP Dhillon,197930,3.3,https://soundcloud.com/apdhillongg/wo-noor?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Dil Nu,AP Dhillon,231340,3.86,https://soundcloud.com/apdhillongg/dil-nu?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Final Thoughts,AP Dhillon,160340,2.67,https://soundcloud.com/apdhillongg/final-thoughts?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
All Night,AP Dhillon,222250,3.7,https://soundcloud.com/apdhillongg/all-night?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hills,AP Dhillon,160104,2.67,https://soundcloud.com/apdhillongg/hills?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Scars ( Slowed + Reverb),AP Dhillon,180140,3.0,https://soundcloud.com/apdhillongg/scars-slowed-reverb?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Lifestyle,AP Dhillon,151667,2.53,https://soundcloud.com/apdhillongg/lifestyle?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Sleepless,AP Dhillon,134113,2.24,https://soundcloud.com/apdhillongg/sleepless?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Summer High,AP Dhillon,177450,2.96,https://soundcloud.com/apdhillongg/ikk-saade-o-ap-dhillon?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
With You,AP Dhillon,144457,2.41,https://soundcloud.com/apdhillongg/with-you-o-ap-dhillon?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Mai Haar Gaiyan  Ost Kabhi Mai Kabhi Tum ...,Haider 110❗,168934,2.82,https://soundcloud.com/callme-aizaz/mai-haar-gaiyan-ost-kabhi-mai?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Jurmana   Kafi Khalil ...,Haider 110❗,173427,2.89,https://soundcloud.com/callme-aizaz/jurmana-ft-kafi-khalil?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Mai Ishq Likhun Tujhay Ho Jaye  ...,Haider 110❗,228206,3.8,https://soundcloud.com/callme-aizaz/mai-ishq-likhun-tujhay-ho-jaye?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Nasha  ft . Talwinder ...,Haider 110❗,189414,3.16,https://soundcloud.com/callme-aizaz/nasha-ft-talwinder?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Andheray Ka Sawera  - ft . Vishal Roy Choudhury 🪄 ...,Haider 110❗,85290,1.42,https://soundcloud.com/callme-aizaz/andheray-ka-sawera-ft-vishal?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Oh Sahib Ost Song From  Abdullahpur ka Devdas  ❤️,Haider 110❗,189048,3.15,https://soundcloud.com/callme-aizaz/oh-sahib-ost-song-from?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Strangers - Asim Azhar, Talha Anjum Ahxd.,272118,4.54,https://soundcloud.com/dhhahxd/strangers-asim-azhar-talha-anjum?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
U Got This - Asim Azhar,Ahxd.,254642,4.24,https://soundcloud.com/dhhahxd/u-got-this-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Pari - Asim Azhar,Ahxd.,239621,3.99,https://soundcloud.com/dhhahxd/pari-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Jind Mahi - Asim Azhar,Ahxd.,266658,4.44,https://soundcloud.com/dhhahxd/jind-mahi-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Sugar Rush - Asim Azhar,Ahxd.,176144,2.94,https://soundcloud.com/dhhahxd/sugar-rush-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Lost n Found - Asim Azhar,Ahxd.,229433,3.82,https://soundcloud.com/dhhahxd/lost-n-found-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Changes - Asim Azhar,Ahxd.,252134,4.2,https://soundcloud.com/dhhahxd/changes-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Na Ja - Asim Azhar, Jokhay Ahxd.,250149,4.17,https://soundcloud.com/dhhahxd/na-ja-asim-azhar-jokhay?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Khabbay Sajjay - Asim Azhar,Ahxd.,248137,4.14,https://soundcloud.com/dhhahxd/khabbay-sajjay-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Asim Ali - Asim Azhar,Ahxd.,295158,4.92,https://soundcloud.com/dhhahxd/asim-ali-asim-azhar?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
HAWA ANEY DE,Ahxd.,198426,3.31,https://soundcloud.com/dhhahxd/talha-anjum-hawa-aney-de-prod-by-umair?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Luv Summer - Umair, Jevin Gill Afusic Ahxd,170423,2.84,https://soundcloud.com/dhhahxd/luv-summer-umair-jevin-gill-afusic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Fall Apart - Jokhay, JANI Ahxd.,161176,2.69,https://soundcloud.com/dhhahxd/e877d435-62b1-4234-8639-9389d0da62a4?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Nazna - Jokhay, JANI Ahxd.,233195,3.89,https://soundcloud.com/dhhahxd/18ec7899-2bb1-45ae-a9a5-5c4ca0c7ed24?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Two of Us - Jokhay, JANI Shareh Ahxd.,214648,3.58,https://soundcloud.com/dhhahxd/two-of-us-jokhay?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Miracles - Jokhay, Jani Ahxd.,200934,3.35,https://soundcloud.com/dhhahxd/miracles-jokhay?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Muahida - Hashim x Fadi | Pindi Boyz,Ahxd.,228885,3.81,https://soundcloud.com/dhhahxd/muahida-hashim-x-fadi-pindi-boyz?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
KYUN - Shareh, superdupersultan Ahxd.,208666,3.48,https://soundcloud.com/dhhahxd/kyun-shareh-superdupersultan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
TOHFA - Shareh, superdupersultan Ahxd.,186410,3.11,https://soundcloud.com/dhhahxd/tohfa-shareh-superdupersultan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
WONDER - Shareh, Talha Anjum  superdupersultan Ahxd.,203024,3.38,https://soundcloud.com/dhhahxd/wonder-shareh-talha-anjum-superdupersultan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
COME AROUND - Shareh, JANI  superdupersultan Ahxd.,199680,3.33,https://soundcloud.com/dhhahxd/come-around-shareh-jani-superdupersultan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
IN MY ROOM - Shareh, Jokhay Ahxd.,205767,3.43,https://soundcloud.com/dhhahxd/in-my-room-shareh-jokhay?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
BANK ACCOUNT - Shareh, Izzchughtai  Umair Ahxd.,214857,3.58,https://soundcloud.com/dhhahxd/bank-account-shareh-izzchughtai-umair?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
GONE NOW - Shareh, superdupersultan Ahxd.,170553,2.84,https://soundcloud.com/dhhahxd/gone-now-shareh-superdupersultan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
EYES CLOSED - Shareh, Rithmetic Ahxd.,127112,2.12,https://soundcloud.com/dhhahxd/eyes-closed-shareh-rithmetic?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Clones - Talha Anjum, Talhah Yunus  Jokhay Ahxd.,241659,4.03,https://soundcloud.com/dhhahxd/6bc8a2ef-b939-4131-abd3-9c0208cba8e3?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
DEAR BELOVED - Talha Anjum,  Talhah Yunus Umair Ahxd.,192104,3.2,https://soundcloud.com/dhhahxd/dear-beloved-talha-anjum-talhah-yunus-umair?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
HATE RELATION - JANI, Umair Ahxd.,204121,3.4,https://soundcloud.com/dhhahxd/hate-relation-jani-umair?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
DISCONNECT - Hasan Raheem, Shamoon Ismail Umair Ahxd.,184085,3.07,https://soundcloud.com/dhhahxd/disconnect-hasan-raheem-shamoon-ismail-umair?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
coffee shop - JANI, superdupersultan Ahxd.,160078,2.67,https://soundcloud.com/dhhahxd/coffee-shop-jani-superdupersultan?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Hoor - Samar Jafri,Ahxd.,210416,3.51,https://soundcloud.com/dhhahxd/hoor-samar-jafri?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Laapata - Talha Anjum, Jokhay Ahxd.,157597,2.63,https://soundcloud.com/dhhahxd/talha-anjum-jokhay-laapata?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
MEMORIES - Hasan Raheem, Justin Bibis Ahxd.,218514,3.64,https://soundcloud.com/dhhahxd/memories-hasan-raheem-justin-bibis?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
VOTP SKIT 4 - KR$NA,Ahxd.,0,,https://soundcloud.com/dhhahxd/votp-skit-4-krna?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Vibrate - KR$NA, Badshah Ahxd.,244140,4.07,https://soundcloud.com/dhhahxd/vibrate-krna?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Buss Down - KR$NA, Raftaar Ahxd.,244976,4.08,https://soundcloud.com/dhhahxd/buss-down-krna?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Sensitive - KR$NA, Seedhe Maut Ahxd.,284186,4.74,https://soundcloud.com/dhhahxd/sensitive-krna?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Knock Knock - KR$NA,Ahxd.,266998,4.45,https://soundcloud.com/dhhahxd/knock-knock-krna-extra-min?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Pyaar Kyun Banaya - Nehaal Naseem (10.5 min loop),Music On Loop,626312,10.44,https://soundcloud.com/extended-music-420726816/pyaar-kyun-banaya-nehaal?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Teri Yaad - Faheem Abdullah (15 min loop),Music On Loop,887876,14.8,https://soundcloud.com/extended-music-420726816/teri-yaad-faheem-abdullah-15?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Aap Ki Yaad - Ahmed Jehanzeb (11 min Loop),Music On Loop,642612,10.71,https://soundcloud.com/extended-music-420726816/aap-ki-yaad-ahmad-jahanzeb-11?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Bichadna - Faheem Abdullah (19 min Loop),Music On Loop,1137293,18.95,https://soundcloud.com/extended-music-420726816/bichadna-faheem-abdullah-19?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
JNEAT x KSBANDS - IN THE DARK,ab_2sickk,123011,2.05,https://soundcloud.com/g-a-1-a-x-y-847577516/jneat-x-ksbands-in-the-dark?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
BABYSPILL🫗🫗,ab_2sickk,132833,2.21,https://soundcloud.com/g-a-1-a-x-y-847577516/babyspill?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
KSBvndz - Letter to Her,ab_2sickk,191242,3.19,https://soundcloud.com/g-a-1-a-x-y-847577516/ksbvndz-letter-to-her?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
ITZLILDRENCH x TG - WHAT YU DOIN,ab_2sickk,155011,2.58,https://soundcloud.com/g-a-1-a-x-y-847577516/itzlildrench-x-tg-what-yu-doin?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Ksbvndz-Yawdmon,ab_2sickk,58958,0.98,https://soundcloud.com/g-a-1-a-x-y-847577516/ksbvndz-yawdmon?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
Bunnabcf - water (snippet),ab_2sickk,14080,0.23,https://soundcloud.com/g-a-1-a-x-y-847577516/bunnabcf-water-snippet?utm_medium=api&utm_campaign=social_sharing&utm_source=id_319702
