title,artist,duration_ms,duration_min,url
Taylor Swift - The Fate of Ophelia (KEPIK Remix),K ☰ P I ꓘ,239569,3.99,https://soundcloud.com/kepik/taylor-swift-the-fate-of-ophelia
Lose It All (feat. Rory Hope),Audien,232542,3.88,https://soundcloud.com/audien/lose-it-all-feat-rory-hope
Rumi,November After Dark,186749,3.11,https://soundcloud.com/user-546024790/rumi-1
Can’t get enough,Thomas GT,207073,3.45,https://soundcloud.com/thomas-gt-869415467/cant-get-enough-wav
Find Your Light,EMBRZ,181159,3.02,https://soundcloud.com/embrz/find-your-light
Drown in Your Games,November After Dark,229930,3.83,https://soundcloud.com/user-546024790/drown-in-your-games
When We Fade,November After Dark,290011,4.83,https://soundcloud.com/user-546024790/when-we-fade
Deep Eyes - Fading Echoes,Cherokee Recordings,130873,2.18,https://soundcloud.com/cherokeerecordings/deep-eyes-fading-echoes
No Longer Here,Conny,281391,4.69,https://soundcloud.com/conny-631072737/no-longer-here
Azzarova - Dreams About Us,Deep Boss,315638,5.26,https://soundcloud.com/deepbossrecords/azzarova-dreams-about-us
Deep House Music Mix 2024  Mixed By deepmagic. Vol.7,deepmagic.,456934,7.62,https://soundcloud.com/deepmagic-975937729/deep-house-music-mix-2024-mixed-by-deepmagic-vol8
Eternal Embrace,Maja-Emilie Morgenstjerne & AI/DI,212193,3.54,https://soundcloud.com/majaemilie/eternal-embrace
For The Sake of Love,Miami Beats,156134,2.6,https://soundcloud.com/miamibeats/for-the-sake-of-love
Flaws,Vancouver Sleep Clinic,199489,3.32,https://soundcloud.com/vancouversleepclinic/flaws
You Got What You Wanted,Thomas GT,179958,3.0,https://soundcloud.com/thomas-gt-869415467/you-got-what-you-wanted-wav
redfeel - In the Rain,Mark Music Records,204225,3.4,https://soundcloud.com/markmusic-records/redfeel-in-the-rain
Last Tango In Paris,TheVuoristo,234789,3.91,https://soundcloud.com/thevuoristo/last-tango-in-paris
MENDA - Listen,Mark Music Records,245185,4.09,https://soundcloud.com/markmusic-records/menda-listen
Micky & Nate VanDeusen - Bloom,Soave,153443,2.56,https://soundcloud.com/soaverecords/micky-bloom-nate-vandeusen
Freedom Trigger,᭙ꪖꪶꪖꪗ,199889,3.33,https://soundcloud.com/william-generoso-53111513/freedom-trigger-2
Infinity - Jaymes Young Slow,Sherlock Holmes,236508,3.94,https://soundcloud.com/sherlock-holmess-86967879/infinity-jaymes-young-slow
Terminal Blues - Umair & Maaidah,Musical Mind,182518,3.04,https://soundcloud.com/user-671129322/terminal-blues-umair-maaidah
Sunshine,Evans,168281,2.8,https://soundcloud.com/evans-383483284/sunshine
I Never Wanna See You Again,Evans,193567,3.23,https://soundcloud.com/evans-383483284/i-never-wanna-see-you-again
Illusions,Evans,219272,3.65,https://soundcloud.com/evans-383483284/illusions
Jaymes Young - Infinity (Slowed),Mr. Lake,266971,4.45,https://soundcloud.com/mr-lake-287509219/jaymes-young-infinity-slowed
melodeep - Losing,Baijan Records,220839,3.68,https://soundcloud.com/baijanrecords/melodeep-losing
Midnight Masquerade,TheVuoristo,281966,4.7,https://soundcloud.com/thevuoristo/midnight-masquerade
Choose the One Less Taken,Len Bennati FM Folk,221571,3.69,https://soundcloud.com/lenfm1/choose-the-one-less-taken
Lilac in the Desert,November After Dark,343719,5.73,https://soundcloud.com/user-546024790/lilac-in-the-desert
the shadow of my soul,Angelo Gabrielli (lyricist),217391,3.62,https://soundcloud.com/angelo-gabri/the-shadow-of-my-soul
A Story Named Us (Acoustic Version),TheVuoristo,223399,3.72,https://soundcloud.com/thevuoristo/a-story-named-us-acoustic
My Soundtrack (My Song is Me),᭙ꪖꪶꪖꪗ,272405,4.54,https://soundcloud.com/william-generoso-53111513/my-soundtrack
The Last Chapter,TheVuoristo,225802,3.76,https://soundcloud.com/thevuoristo/the-last-chapter
Manual For Falling In Love,TheVuoristo,269923,4.5,https://soundcloud.com/thevuoristo/manual-for-falling-in-love
Tightrope,TheVuoristo,257515,4.29,https://soundcloud.com/thevuoristo/tightrope
Reflections Of Us,ChillYourMind,137822,2.3,https://soundcloud.com/chillyourmind/reflection-of-us
The Roads We Roam,Shadowman,265404,4.42,https://soundcloud.com/kurt-arndt-560019904/the-roads-we-roam
Born to Survive (House Hub Remix),House Hub,238968,3.98,https://soundcloud.com/foad-jbara/born-to-survive-house-hub
Dani Corbalan - Crying Violin,Cherokee Recordings,131892,2.2,https://soundcloud.com/cherokeerecordings/dani-corbalan-crying-violin
Infinity (Piano Version),Jaymes Young,235703,3.93,https://soundcloud.com/jaymes-young/infinity-piano-version
Infinity (PRETTY YOUNG Remix),Jaymes Young,210547,3.51,https://soundcloud.com/jaymes-young/prettyyoungremix
Bad Blood - Taylor Swift - Cover By Ali Brustofski,Ali Brustofski,203381,3.39,https://soundcloud.com/alibrustofski/bad-blood-taylor-swift-cover-by-ali-brustofski
When the River Let Me Go,Conny,403148,6.72,https://soundcloud.com/conny-631072737/when-the-river-let-me-go
Pleasure_You ( The Extended Sas Mix ),Sas,187611,3.13,https://soundcloud.com/dj-sas-395971788/pleasure_you_20250916070127
Hard To Breathe,Evans,196467,3.27,https://soundcloud.com/evans-383483284/hard-to-breathe
If I Lose You,Evans,224679,3.74,https://soundcloud.com/evans-383483284/if-i-lose-you
Leave Me Alone,Evans,174994,2.92,https://soundcloud.com/evans-383483284/leave-me-alone
Thank You For Your Time,Evans,159347,2.66,https://soundcloud.com/evans-383483284/thank-you-for-your-time-1
Furkan Sert - Veliaht (Violin version),FURKAN SERT,190067,3.17,https://soundcloud.com/furkansertmusic/furkan-sert-veliaht-violin
Last Heroes & HYMNALS - Above The Stars,Last Heroes,225489,3.76,https://soundcloud.com/lastheroesmusic/last-heroes-hymnals-above-the-stars
One More Hour,Melinda Klotz Mercer,292284,4.87,https://soundcloud.com/melinda-klotz-mercer/one-more-hour
Polux - Live Without Love,Soave,167314,2.79,https://soundcloud.com/soaverecords/polux-live-without-love-1
FLY WHILE YOU STILL CAN DREAM - An autobiographical song,VC JACOBY,273842,4.56,https://soundcloud.com/volker-c-jacoby/fly-while-you-still-can-dream-an-autobiographical-song
Horizon,Onycs,153574,2.56,https://soundcloud.com/onycsmusic/horizon
Closer,Spectrum Recordings,142028,2.37,https://soundcloud.com/spectrumrecordings/closer
Daniel Bedingfield - If Your Not The One (COVER) by Myko M DelaCruz Mañago,m-dela-cruz,245025,4.08,https://soundcloud.com/mdelacruz/daniel-bedingfield-if-your-not
Love The Way You Lie (Part II) (Ft. Eminem),Naz beatz,296445,4.94,https://soundcloud.com/nazbeatz/11-love-the-way-you-lie-part-ii-ft-eminem
Chasing Paradise,Miami Beats,173427,2.89,https://soundcloud.com/miamibeats/chasing-paradise
Javid - Pulse,Mark Music Records,203233,3.39,https://soundcloud.com/markmusic-records/javid-pulse
Northwind,Oscuro,219455,3.66,https://soundcloud.com/oscurochill/northwind
NSH - Lost A Friend,Soave,203311,3.39,https://soundcloud.com/soaverecords/nsh-lost-a-friend
RILTIM - Sweet Love,Mark Music Records,218227,3.64,https://soundcloud.com/markmusic-records/riltim-sweet-love
Zerky - Tryna Save You,Stardust💫,179618,2.99,https://soundcloud.com/stardust-records-ltd/zerky-tryna-save-you
The Sound of Silence - Cyril Riley Remix_256k.mp3,gelbeseiten,151641,2.53,https://soundcloud.com/andrea-getzkow/the-sound-of-silence-cyril
Nil Martorell DVRCH & Maria Niklasson - Fighter,Stardust💫,183824,3.06,https://soundcloud.com/stardust-records-ltd/nil-martorell-dvrch-maria-niklasson-fighter
Warriyo - Mortals ft. Laura Brehm (Rameses B Remix),Rameses B,256026,4.27,https://soundcloud.com/ramesesb/warriyo-mortals-rameses-b
Sweet November ( Electronic -Vocal Dynamics),Orion Sagitta,232751,3.88,https://soundcloud.com/tarek-sahl-589624520/sweet-november-electronic
Jaytor & Oceanika - Back in Time,Mark Music Records,248111,4.14,https://soundcloud.com/markmusic-records/jaytor-oceanika-back-in-time
RILTIM & Limora - Bye Bye Bye,Mark Music Records,186331,3.11,https://soundcloud.com/markmusic-records/riltim-limora-bye-bye-bye
Forever,Thomas GT,237009,3.95,https://soundcloud.com/thomas-gt-869415467/forever-wav
It’s almost over,Stephan B,194795,3.25,https://soundcloud.com/stephane-boyer-421908434/golden-requiem
But not mine,Art3m1s TheNewArt,174106,2.9,https://soundcloud.com/francesc-parra/but-not-mine
If My Life Was A Movie,Conny,234998,3.92,https://soundcloud.com/conny-631072737/if-my-life-was-a-movie
Scars,᭙ꪖꪶꪖꪗ,294766,4.91,https://soundcloud.com/william-generoso-53111513/9666cd14-2955-47e9-af4d-9db6a15a66b1
Where do we go now ?,Stephan B,147200,2.45,https://soundcloud.com/stephane-boyer-421908434/where-do-we-go-now
Dreamers Nightmare,᭙ꪖꪶꪖꪗ,217992,3.63,https://soundcloud.com/william-generoso-53111513/dreamers-nightmare-2
Moonlight Between Us,ISSAX,224444,3.74,https://soundcloud.com/djissax/moonlight-between-us-1
GiBoss - All I See,FHC Deep,202893,3.38,https://soundcloud.com/fhcdeep/giboss-all-i-see
Stronger,Stefan Christiansson,220108,3.67,https://soundcloud.com/s-christiansson/stronger
Porte - Still Miss You,Mark Music Records,205375,3.42,https://soundcloud.com/markmusic-records/porte-still-miss-you
Eternal,Krewella,193149,3.22,https://soundcloud.com/krewella/eternal-1
If I Ever Feel Better,Fludio,206028,3.43,https://soundcloud.com/fludio/if-i-ever-feel-better-wav
Feast and Famine,Stefan Christiansson,243592,4.06,https://soundcloud.com/s-christiansson/feast-and-famine
Days Like These,Stefan Christiansson,237584,3.96,https://soundcloud.com/s-christiansson/days-like-these
When You Found Me,Stefan Christiansson,233091,3.88,https://soundcloud.com/s-christiansson/when-you-found-me
Kings of Ashes,Stefan Christiansson,236617,3.94,https://soundcloud.com/s-christiansson/kings-of-ashes
Michael Jackson - Mama Se Mama Sa (MALIK REMIX),MALIK,167079,2.78,https://soundcloud.com/malikoguz/michael-jackson-mama-se-mama-sa-malik-remix
Honey Hush the World,Soul Whisperer,302446,5.04,https://soundcloud.com/svetoslav-gavrilov-sig/honey-hush-the-world
Move me (House Hub Original),House Hub,208327,3.47,https://soundcloud.com/foad-jbara/move-me-house-hub-original
The Weight of What Weve Done,Stefan Christiansson,248607,4.14,https://soundcloud.com/s-christiansson/the-weight-of-what-weve-done
Whispers of Tomorrow,Stefan Christiansson,247589,4.13,https://soundcloud.com/s-christiansson/whispers-of-tomorrow
Cest La Vie,TheVuoristo,217731,3.63,https://soundcloud.com/thevuoristo/cest-la-vie
Major Lazer - Be Together ft. Wild Belle (Noctiil Flip),Noctiil,224601,3.74,https://soundcloud.com/noctiil/betogether
Sacred Breath  - ISSAX - ( Deep House),ISSAX,202893,3.38,https://soundcloud.com/djissax/sacred-breath-dj-issax-deep
LIYNA & DDcore - In Your Silence,Mark Music Records,217260,3.62,https://soundcloud.com/markmusic-records/liyna-ddcore-in-your-silence
October Rain,Thomas GT,298527,4.98,https://soundcloud.com/thomas-gt-869415467/october-rain
MENDA - Progress,Mark Music Records,191060,3.18,https://soundcloud.com/markmusic-records/menda-progress
Way Back Home [Slowed + Reverb],Stardust💫,187429,3.12,https://soundcloud.com/stardust-records-ltd/way-back-home-slowed-reverb
Escape [Slowed + Reverb],Stardust💫,301296,5.02,https://soundcloud.com/stardust-records-ltd/escape-slowed-reverb
Icebreaker,Fludio,226508,3.78,https://soundcloud.com/fludio/icebreaker-wav
Synthian - Well Be Okay,Sunset Horizon Music,168725,2.81,https://soundcloud.com/sunsethorizon_music/synthian-well-be-okay-1
1. Love_Is_Like_An_Ocean_Sea,Sas,207282,3.45,https://soundcloud.com/dj-sas-395971788/love_is_like_an_ocean_sea
Put Light On - Epic Dark electronica,Fludio,245786,4.1,https://soundcloud.com/fludio/put-light-on-wav
Voices in the Rain,Stefan Christiansson,192078,3.2,https://soundcloud.com/s-christiansson/voices-in-the-rain
Rodle - Go Away,Mark Music Records,216555,3.61,https://soundcloud.com/markmusic-records/rodle-go-away
I Can See Clearly Now,Miami Beats,149133,2.49,https://soundcloud.com/miamibeats/i-can-see-clearly-now
Welcome Home,Said The Sky,194795,3.25,https://soundcloud.com/said-the-sky/welcome-home
Are You With Me (Feat. Justin Jesso),Said The Sky,183118,3.05,https://soundcloud.com/said-the-sky/are-you-with-me-feat-justin-jesso
Dance In The Rain (Feat. Knox),Said The Sky,198034,3.3,https://soundcloud.com/said-the-sky/dance-in-the-rain-feat-knox
Heavenly (Feat. Parson James),Said The Sky,186593,3.11,https://soundcloud.com/said-the-sky/heavenly-feat-parson-james
